"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","European Union (28 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.0",""
"Total","European Union (28 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","European Union (28 countries)","2007","From 15 to 64 years","No response","Percentage","14.9",""
"Total","European Union (28 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.7",""
"Total","European Union (28 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.9",""
"Total","European Union (28 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.4",""
"Total","European Union (28 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","European Union (28 countries)","2008","From 15 to 64 years","No response","Percentage","24.8",""
"Total","European Union (28 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","European Union (28 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.0",""
"Total","European Union (28 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.8",""
"Total","European Union (28 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.8",""
"Total","European Union (28 countries)","2009","From 15 to 64 years","No response","Percentage","26.4",""
"Total","European Union (28 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","European Union (28 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.1",""
"Total","European Union (28 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.3",""
"Total","European Union (28 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.3",""
"Total","European Union (28 countries)","2010","From 15 to 64 years","No response","Percentage","25.6",""
"Total","European Union (28 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","European Union (28 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.2",""
"Total","European Union (28 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.2",""
"Total","European Union (28 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0",""
"Total","European Union (28 countries)","2011","From 15 to 64 years","No response","Percentage","18.6",""
"Total","European Union (28 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","European Union (28 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.4",""
"Total","European Union (28 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.0",""
"Total","European Union (28 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.8",""
"Total","European Union (28 countries)","2012","From 15 to 64 years","No response","Percentage","18.3",""
"Total","European Union (28 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","European Union (28 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.7",""
"Total","European Union (28 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.7",""
"Total","European Union (28 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","European Union (28 countries)","2013","From 15 to 64 years","No response","Percentage","21.0",""
"Total","European Union (28 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.8",""
"Total","European Union (28 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.3","b"
"Total","European Union (28 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.4","b"
"Total","European Union (28 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0","b"
"Total","European Union (28 countries)","2014","From 15 to 64 years","No response","Percentage","31.4","b"
"Total","European Union (28 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.6",""
"Total","European Union (28 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.7",""
"Total","European Union (28 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.0",""
"Total","European Union (28 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.7",""
"Total","European Union (28 countries)","2015","From 15 to 64 years","No response","Percentage","32.0",""
"Total","European Union (27 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.8",""
"Total","European Union (27 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.2",""
"Total","European Union (27 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.9",""
"Total","European Union (27 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.5",""
"Total","European Union (27 countries)","2004","From 15 to 64 years","No response","Percentage","31.0",""
"Total","European Union (27 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.5",""
"Total","European Union (27 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.4","b"
"Total","European Union (27 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.2","b"
"Total","European Union (27 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.6","b"
"Total","European Union (27 countries)","2005","From 15 to 64 years","No response","Percentage","11.9","b"
"Total","European Union (27 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.4",""
"Total","European Union (27 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.9",""
"Total","European Union (27 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.2",""
"Total","European Union (27 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.1",""
"Total","European Union (27 countries)","2006","From 15 to 64 years","No response","Percentage","13.1",""
"Total","European Union (27 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.3",""
"Total","European Union (27 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.5",""
"Total","European Union (27 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.1",""
"Total","European Union (27 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","European Union (27 countries)","2007","From 15 to 64 years","No response","Percentage","14.9",""
"Total","European Union (27 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.8",""
"Total","European Union (27 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.0",""
"Total","European Union (27 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.4",""
"Total","European Union (27 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","European Union (27 countries)","2008","From 15 to 64 years","No response","Percentage","24.8",""
"Total","European Union (27 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","European Union (27 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.0",""
"Total","European Union (27 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.9",""
"Total","European Union (27 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.8",""
"Total","European Union (27 countries)","2009","From 15 to 64 years","No response","Percentage","26.4",""
"Total","European Union (27 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","European Union (27 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.2",""
"Total","European Union (27 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.4",""
"Total","European Union (27 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.3",""
"Total","European Union (27 countries)","2010","From 15 to 64 years","No response","Percentage","25.6",""
"Total","European Union (27 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","European Union (27 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.3",""
"Total","European Union (27 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.4",""
"Total","European Union (27 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0",""
"Total","European Union (27 countries)","2011","From 15 to 64 years","No response","Percentage","18.6",""
"Total","European Union (27 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","European Union (27 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.5",""
"Total","European Union (27 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.1",""
"Total","European Union (27 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.8",""
"Total","European Union (27 countries)","2012","From 15 to 64 years","No response","Percentage","18.2",""
"Total","European Union (27 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","European Union (27 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.8",""
"Total","European Union (27 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.9",""
"Total","European Union (27 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","European Union (27 countries)","2013","From 15 to 64 years","No response","Percentage","20.9",""
"Total","European Union (27 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.9",""
"Total","European Union (27 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.4","b"
"Total","European Union (27 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.5","b"
"Total","European Union (27 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.1","b"
"Total","European Union (27 countries)","2014","From 15 to 64 years","No response","Percentage","31.4","b"
"Total","European Union (27 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.7",""
"Total","European Union (27 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.8",""
"Total","European Union (27 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.2",""
"Total","European Union (27 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.7",""
"Total","European Union (27 countries)","2015","From 15 to 64 years","No response","Percentage","32.1",""
"Total","European Union (15 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.6",""
"Total","European Union (15 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.8",""
"Total","European Union (15 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.9",""
"Total","European Union (15 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.6",""
"Total","European Union (15 countries)","2004","From 15 to 64 years","No response","Percentage","31.0",""
"Total","European Union (15 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.3",""
"Total","European Union (15 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","51.0","b"
"Total","European Union (15 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.5","b"
"Total","European Union (15 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.6","b"
"Total","European Union (15 countries)","2005","From 15 to 64 years","No response","Percentage","11.9","b"
"Total","European Union (15 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.1",""
"Total","European Union (15 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","51.4",""
"Total","European Union (15 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","71.3",""
"Total","European Union (15 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.1",""
"Total","European Union (15 countries)","2006","From 15 to 64 years","No response","Percentage","13.1",""
"Total","European Union (15 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.8",""
"Total","European Union (15 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","51.8",""
"Total","European Union (15 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","72.1",""
"Total","European Union (15 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.7",""
"Total","European Union (15 countries)","2007","From 15 to 64 years","No response","Percentage","14.8",""
"Total","European Union (15 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","67.1",""
"Total","European Union (15 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","51.1",""
"Total","European Union (15 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","72.1",""
"Total","European Union (15 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.6",""
"Total","European Union (15 countries)","2008","From 15 to 64 years","No response","Percentage","24.8",""
"Total","European Union (15 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.7",""
"Total","European Union (15 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.8",""
"Total","European Union (15 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.7",""
"Total","European Union (15 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.7",""
"Total","European Union (15 countries)","2009","From 15 to 64 years","No response","Percentage","26.4",""
"Total","European Union (15 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.4",""
"Total","European Union (15 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.7",""
"Total","European Union (15 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.2",""
"Total","European Union (15 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.4",""
"Total","European Union (15 countries)","2010","From 15 to 64 years","No response","Percentage","25.5",""
"Total","European Union (15 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.4",""
"Total","European Union (15 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.1",""
"Total","European Union (15 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.1",""
"Total","European Union (15 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.1",""
"Total","European Union (15 countries)","2011","From 15 to 64 years","No response","Percentage","18.6",""
"Total","European Union (15 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.1",""
"Total","European Union (15 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.1",""
"Total","European Union (15 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.7",""
"Total","European Union (15 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.9",""
"Total","European Union (15 countries)","2012","From 15 to 64 years","No response","Percentage","18.2",""
"Total","European Union (15 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.0",""
"Total","European Union (15 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.2",""
"Total","European Union (15 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.3",""
"Total","European Union (15 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","European Union (15 countries)","2013","From 15 to 64 years","No response","Percentage","20.9",""
"Total","European Union (15 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.5",""
"Total","European Union (15 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.4","b"
"Total","European Union (15 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.6","b"
"Total","European Union (15 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.9","b"
"Total","European Union (15 countries)","2014","From 15 to 64 years","No response","Percentage","31.4","b"
"Total","European Union (15 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","66.1",""
"Total","European Union (15 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.8",""
"Total","European Union (15 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.0",""
"Total","European Union (15 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.4",""
"Total","European Union (15 countries)","2015","From 15 to 64 years","No response","Percentage","32.0",""
"Total","Euro area (19 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.7",""
"Total","Euro area (19 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.5",""
"Total","Euro area (19 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.0",""
"Total","Euro area (19 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3",""
"Total","Euro area (19 countries)","2004","From 15 to 64 years","No response","Percentage","47.7",""
"Total","Euro area (19 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.5",""
"Total","Euro area (19 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.8","b"
"Total","Euro area (19 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.6","b"
"Total","Euro area (19 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.4","b"
"Total","Euro area (19 countries)","2005","From 15 to 64 years","No response","Percentage","19.7","b"
"Total","Euro area (19 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","Euro area (19 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.5",""
"Total","Euro area (19 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.7",""
"Total","Euro area (19 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0",""
"Total","Euro area (19 countries)","2006","From 15 to 64 years","No response","Percentage","23.7",""
"Total","Euro area (19 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.5",""
"Total","Euro area (19 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.0",""
"Total","Euro area (19 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.7",""
"Total","Euro area (19 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.8",""
"Total","Euro area (19 countries)","2007","From 15 to 64 years","No response","Percentage","24.8",""
"Total","Euro area (19 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.8",""
"Total","Euro area (19 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.6",""
"Total","Euro area (19 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","71.1",""
"Total","Euro area (19 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.1",""
"Total","Euro area (19 countries)","2008","From 15 to 64 years","No response","Percentage","29.2",""
"Total","Euro area (19 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.4",""
"Total","Euro area (19 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.4",""
"Total","Euro area (19 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.7",""
"Total","Euro area (19 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.2",""
"Total","Euro area (19 countries)","2009","From 15 to 64 years","No response","Percentage","28.0",""
"Total","Euro area (19 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.0",""
"Total","Euro area (19 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.5",""
"Total","Euro area (19 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.2",""
"Total","Euro area (19 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Euro area (19 countries)","2010","From 15 to 64 years","No response","Percentage","23.9",""
"Total","Euro area (19 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","Euro area (19 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.9",""
"Total","Euro area (19 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.1",""
"Total","Euro area (19 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Euro area (19 countries)","2011","From 15 to 64 years","No response","Percentage","11.2",""
"Total","Euro area (19 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.7",""
"Total","Euro area (19 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.7",""
"Total","Euro area (19 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.6",""
"Total","Euro area (19 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3",""
"Total","Euro area (19 countries)","2012","From 15 to 64 years","No response","Percentage","10.9",""
"Total","Euro area (19 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.4",""
"Total","Euro area (19 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.7",""
"Total","Euro area (19 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.2",""
"Total","Euro area (19 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.9",""
"Total","Euro area (19 countries)","2013","From 15 to 64 years","No response","Percentage","13.9",""
"Total","Euro area (19 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.8",""
"Total","Euro area (19 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.6","b"
"Total","Euro area (19 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.4","b"
"Total","Euro area (19 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.0","b"
"Total","Euro area (19 countries)","2014","From 15 to 64 years","No response","Percentage","30.4","b"
"Total","Euro area (19 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","Euro area (19 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.1",""
"Total","Euro area (19 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.8",""
"Total","Euro area (19 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.5",""
"Total","Euro area (19 countries)","2015","From 15 to 64 years","No response","Percentage","29.9",""
"Total","Euro area (18 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.7",""
"Total","Euro area (18 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.6",""
"Total","Euro area (18 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.0",""
"Total","Euro area (18 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3",""
"Total","Euro area (18 countries)","2004","From 15 to 64 years","No response","Percentage","47.7",""
"Total","Euro area (18 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.6",""
"Total","Euro area (18 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.9","b"
"Total","Euro area (18 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.7","b"
"Total","Euro area (18 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3","b"
"Total","Euro area (18 countries)","2005","From 15 to 64 years","No response","Percentage","19.7","b"
"Total","Euro area (18 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.6",""
