SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Total,European Union (28 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,74.7,b
Total,European Union (28 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,75.8,
Total,European Union (28 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,79.3,
Total,European Union (28 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,80.4,b
Total,European Union (28 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,80.5,
Total,European Union (28 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,79.6,
Total,European Union (28 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,79.8,b
Total,European Union (28 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,80.6,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,67.2,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,68.1,b
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,67.9,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,62,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,63.2,b
Total,European Union (28 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,62.8,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,72.5,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,73.4,b
Total,European Union (28 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,73.8,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,76.7,
Total,European Union (28 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,76.3,b
Total,European Union (28 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,76.5,
Total,European Union (27 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,69.9,
Total,European Union (27 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,70.7,b
Total,European Union (27 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,71.5,
Total,European Union (27 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,71.7,
Total,European Union (27 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,72.9,b
Total,European Union (27 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,73.5,
Total,European Union (27 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,77.1,
Total,European Union (27 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,77.8,b
Total,European Union (27 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,78.3,
Total,European Union (27 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,75.9,
Total,European Union (27 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,76.4,b
Total,European Union (27 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,76.9,
Total,European Union (27 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,66.3,
Total,European Union (27 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,67,b
Total,European Union (27 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,68,
Total,European Union (27 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,European Union (27 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,European Union (27 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,European Union (27 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,European Union (27 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,European Union (27 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,European Union (27 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,European Union (27 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,European Union (27 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,European Union (27 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,74.5,
Total,European Union (27 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,75.4,b
Total,European Union (27 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,75.9,
Total,European Union (27 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,74.2,
Total,European Union (27 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,75.7,b
Total,European Union (27 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,76.1,
Total,European Union (27 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,75.9,
Total,European Union (27 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,76.2,b
Total,European Union (27 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,77.2,
Total,European Union (27 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,74.1,
Total,European Union (27 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,74.8,b
Total,European Union (27 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,75.3,
Total,European Union (27 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,77,
Total,European Union (27 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,77.9,b
Total,European Union (27 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,78.6,
Total,European Union (27 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,73.5,
Total,European Union (27 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,74.7,b
Total,European Union (27 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,75.8,
Total,European Union (27 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,79.4,
Total,European Union (27 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,80.4,b
Total,European Union (27 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,80.5,
Total,European Union (27 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,79.7,
Total,European Union (27 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,79.9,b
Total,European Union (27 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,80.7,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,67.3,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,68.1,b
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,68,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,62.1,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,63.2,b
Total,European Union (27 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,62.8,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,72.6,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,73.4,b
Total,European Union (27 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,73.9,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,76.9,
Total,European Union (27 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,76.5,b
Total,European Union (27 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,76.5,
Total,European Union (15 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,70.4,
Total,European Union (15 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,71,b
Total,European Union (15 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,71.7,
Total,European Union (15 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,72.7,
Total,European Union (15 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,73.8,b
Total,European Union (15 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,74.1,
Total,European Union (15 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,77.3,
Total,European Union (15 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,77.8,b
Total,European Union (15 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,78.3,
Total,European Union (15 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,75.3,
Total,European Union (15 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,75.6,b
Total,European Union (15 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,76.1,
Total,European Union (15 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,67.2,
Total,European Union (15 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,67.7,b
Total,European Union (15 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,68.6,
Total,European Union (15 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,European Union (15 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,European Union (15 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,European Union (15 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,European Union (15 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,European Union (15 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,European Union (15 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,European Union (15 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,European Union (15 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,European Union (15 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,74.6,
Total,European Union (15 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,75.2,b
Total,European Union (15 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,75.7,
Total,European Union (15 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,75.6,
Total,European Union (15 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,76.8,b
Total,European Union (15 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,77,
Total,European Union (15 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,76.1,
Total,European Union (15 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,75.8,b
Total,European Union (15 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,77,
Total,European Union (15 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,73.4,
Total,European Union (15 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,74,b
Total,European Union (15 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,74.3,
Total,European Union (15 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,77.3,
Total,European Union (15 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,78.1,b
Total,European Union (15 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,78.8,
Total,European Union (15 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,74.3,
Total,European Union (15 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,75.5,b
Total,European Union (15 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,76.6,
Total,European Union (15 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,79.5,
Total,European Union (15 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,80.6,b
Total,European Union (15 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,80.5,
Total,European Union (15 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,79.3,
Total,European Union (15 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,79.3,b
Total,European Union (15 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,80.1,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,67.8,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,68.5,b
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,68.1,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,62.8,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,63.5,b
Total,European Union (15 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,62.8,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,73.2,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,73.9,b
Total,European Union (15 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,74.4,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,76.9,
Total,European Union (15 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,76.7,b
Total,European Union (15 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,75.9,
Total,Euro area (18 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,69.2,
Total,Euro area (18 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,69.6,b
Total,Euro area (18 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,70.2,
Total,Euro area (18 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,71.7,
Total,Euro area (18 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,72.8,b
Total,Euro area (18 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,73.2,
Total,Euro area (18 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,76.5,
Total,Euro area (18 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,76.8,b
Total,Euro area (18 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,77.1,
Total,Euro area (18 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,74.4,
Total,Euro area (18 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,74.6,b
Total,Euro area (18 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,75.1,
Total,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,65.6,
Total,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,65.9,b
Total,Euro area (18 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,66.8,
Total,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Euro area (18 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,73.6,
Total,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,74,b
Total,Euro area (18 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,74.5,
Total,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,74.6,
Total,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,75.7,b
Total,Euro area (18 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,75.8,
Total,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,75.5,
Total,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,74.9,b
Total,Euro area (18 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,75.9,
Total,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,72.2,
Total,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,72.6,b
Total,Euro area (18 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,73.1,
Total,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,76.4,
Total,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,77.1,b
Total,Euro area (18 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,77.8,
Total,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,73.1,
Total,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,74.2,b
Total,Euro area (18 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,75.4,
Total,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,78.5,
Total,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,79.3,b
Total,Euro area (18 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,79.2,
Total,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,78.9,
Total,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,78.7,b
Total,Euro area (18 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,79.4,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,67.6,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,68.4,b
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,67.7,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,62.1,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,63,b
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,62.1,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,72.7,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,73.5,b
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,73.4,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,77.3,
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,76.8,b
Total,Euro area (18 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,76.3,
Total,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,69.1,
Total,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,69.6,b
Total,Euro area (17 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,70.2,
Total,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,71.7,
Total,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,72.8,b
Total,Euro area (17 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,73.1,
Total,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,76.5,
Total,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,76.8,b
Total,Euro area (17 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,77.1,
Total,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,74.3,
Total,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,74.6,b
Total,Euro area (17 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,75.1,
Total,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,65.6,
Total,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,65.8,b
Total,Euro area (17 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,66.7,
Total,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
